"","Assay creator","Sequencer platform"
"","DFCI","Illumina - HiSeq 2500"
"","Mount Sinai","Illumina - HiSeq 3000"
"","Stanford","Illumina - NextSeq 550"
"","MD Anderson","Illumina - HiSeq 4000"
"","","Illumina - NovaSeq 6000"
