"","Assay creator","Sequencer platform","Paired end reads"
"","DFCI","Illumina - HiSeq 2500","Paired"
"","Mount Sinai","Illumina - HiSeq 3000","Single"
"","Stanford","Illumina - NextSeq 550"
"","MD Anderson","Illumina - HiSeq 4000"
"","","Illumina - NovaSeq 6000"
"","","MiSeq"
