"","Assay creator","Enrichment method","Enrichment kit","Sequencer platform"
"","DFCI","PolyA capture","Agilent","Adaptive"
"","Mount Sinai","Transcriptome capture v1","Twist","Illumina - HiSeq 2500"
"","Stanford","Ribo minus","IDT","Illumina - HiSeq 3000"
"","MD Anderson","","NEB","Illumina - NextSeq 550"
"","Adaptive","","Illumina - TruSeq Stranded PolyA mRNA","Illumina - HiSeq 4000"
"","","","Illumina - TruSeq Stranded mRNA Sample Prep Kit","Illumina - NovaSeq 6000"
"","","","Illumina- TruSeq RNA Access Library Prep Kit","MiSeq"
