"","Assay creator","Enrichment method","Enrichment kit","Sequencer platform","Paired end reads"
"","DFCI","PolyA capture","Agilent","Illumina - HiSeq 2500","Paired"
"","Mount Sinai","Transcriptome capture v1","Twist","Illumina - HiSeq 3000","Single"
"","Stanford","Ribo minus","IDT","Illumina - NextSeq 550"
"","MD Anderson","","NEB","Illumina - HiSeq 4000"
"","","","Illumina - TruSeq Stranded PolyA mRNA","Illumina - NovaSeq 6000"
"","","","Illumina - TruSeq Stranded mRNA Sample Prep Kit","MiSeq"
"","","","Illumina- TruSeq RNA Access Library Prep Kit"
