"","Assay creator","Sequencing protocol","Library kit","Sequencer platform","Paired end reads","Bait set"
"","DFCI","Express Somatic Human WES (Deep Coverage) v1.1","Hyper Prep ICE Exome Express: 1.0","Illumina - HiSeq 2500","Paired","whole_exome_illumina_coding_v1"
"","Mount Sinai","Somatic Human WES v6","KAPA HyperPrep","Illumina - HiSeq 3000","Single","broad_custom_exome_v1"
"","Stanford","","IDT duplex UMI adapters","Illumina - NextSeq 550"
"","MD Anderson","","","Illumina - HiSeq 4000"
"","","","","Illumina - NovaSeq 6000"
"","","","","MiSeq"
